time_s,displacement_m
2.526757386363636115e-01,2.891985237193098407e-05
2.526984090909090708e-01,2.600775059078433383e-05
2.527210937500000143e-01,2.311387385431184208e-05
2.527437642045454735e-01,2.027206867405118867e-05
2.527664346590909328e-01,1.745109211627525974e-05
2.527891193181818208e-01,1.457413863557161807e-05
2.528117897727272800e-01,1.161647424273962581e-05
2.528344602272727393e-01,8.410168168996154904e-06
2.528571448863636273e-01,5.078890360344267603e-06
2.528798153409090865e-01,1.669505217374650335e-06
2.529024999999999745e-01,-1.864851660503346906e-06
2.529251704545454338e-01,-5.395303171665476093e-06
2.529478409090908930e-01,-9.001258439334749344e-06
2.529705255681818366e-01,-1.264106021854172615e-05
2.529931960227272958e-01,-1.628476736446458922e-05
2.530158664772726995e-01,-1.997533891097808578e-05
2.530385511363636430e-01,-2.360993353456387469e-05
2.530612215909091023e-01,-2.720547449099079077e-05
2.530839062499999903e-01,-3.072551169091053739e-05
2.531065767045454495e-01,-3.412057715592190996e-05
2.531292471590909088e-01,-3.742321560865728160e-05
2.531519318181817968e-01,-4.056963939275715520e-05
2.531746022727272560e-01,-4.353381273011559972e-05
2.531972727272727153e-01,-4.630141594277441410e-05
2.532199573863636588e-01,-4.876830591830990812e-05
2.532426278409091180e-01,-5.089412720065786836e-05
2.532653125000000061e-01,-5.256692594396292694e-05
2.532879829545454653e-01,-5.362658211287371651e-05
2.533106534090909245e-01,-5.408481180753782469e-05
2.533333380681818126e-01,-5.397285796168237550e-05
2.533560085227272718e-01,-5.329592773092856192e-05
2.533786789772727310e-01,-5.205402111527643137e-05
2.534013636363636190e-01,-5.026666494830531016e-05
2.534240340909090783e-01,-4.792604849658352063e-05
2.534467187500000218e-01,-4.507773437179639462e-05
2.534693892045454811e-01,-4.186101398681054114e-05
2.534920596590908848e-01,-3.832535532002722236e-05
2.535147443181818283e-01,-3.449158699393119665e-05
2.535374147727272875e-01,-3.033367323041650927e-05
2.535600852272727468e-01,-2.578131742859720744e-05
2.535827698863636348e-01,-2.078244803226146978e-05
2.536054403409090940e-01,-1.545943319850707383e-05
2.536281107954545533e-01,-9.861740905735252977e-06
2.536507954545454413e-01,-3.977655053798385680e-06
2.536734659090909005e-01,2.070456200205756008e-06
2.536961505681818441e-01,8.337267990299576838e-06
2.537188210227272478e-01,1.474467298216536463e-05
2.537414914772727070e-01,2.125752287536009514e-05
2.537641761363636506e-01,2.787711945878907000e-05
2.537868465909091098e-01,3.449150888659687560e-05
2.538095170454545690e-01,4.111110547002584707e-05
2.538322017045454571e-01,4.764478398570531393e-05
2.538548721590909163e-01,5.403656751070753803e-05
2.538775568181818043e-01,6.023698806663128430e-05
2.539002272727272635e-01,6.616663653025350378e-05
2.539228977272727228e-01,7.183592721281658244e-05
2.539455823863636108e-01,7.728521557038466592e-05
2.539682528409090700e-01,8.243118711301884271e-05
2.539909232954545293e-01,8.721656312888609167e-05
2.540136079545454728e-01,9.153199334994154316e-05
2.540362784090909321e-01,9.522516847426564976e-05
2.540589630681818201e-01,9.834295290244901957e-05
2.540816335227272793e-01,1.009035716791658043e-04
2.541043039772727385e-01,1.028796872374047492e-04
2.541269886363636266e-01,1.042817138884083217e-04
2.541496590909090858e-01,1.051057462654605507e-04
2.541723295454545450e-01,1.053270503793608153e-04
2.541950142045454331e-01,1.050328460867639845e-04
2.542176846590908923e-01,1.043324836557148465e-04
2.542403693181818358e-01,1.032767328535199805e-04
2.542630397727272951e-01,1.019124580807700080e-04
2.542857102272727543e-01,1.002617897488549840e-04
2.543083948863636423e-01,9.835857436931256463e-05
2.543310653409091016e-01,9.621062267557455624e-05
2.543537357954545608e-01,9.385308296808391154e-05
2.543764204545454488e-01,9.130287850260951279e-05
2.543990909090909081e-01,8.858474326835192670e-05
2.544217755681817961e-01,8.572080767670124885e-05
2.544444460227272553e-01,8.269805383860447307e-05
