relative_velocity_m_s,force_n
-2.061823435781479086e-02,-1.837614285714285645e+00
-2.307207121045484755e-02,-1.845357142857142918e+00
-2.442400415348772169e-02,-1.852031168831168806e+00
-2.259455674497723443e-02,-1.854520779220779181e+00
-1.757689759056718648e-02,-1.852138961038960918e+00
-1.134461651967777485e-02,-1.846958441558441466e+00
-7.516303122630296762e-03,-1.843874025974026054e+00
-4.500242514499597224e-03,-1.841141558441558468e+00
-1.359167389655913105e-03,-1.837597402597402674e+00
1.257659700926172519e-05,-1.835920779220779231e+00
2.117329198062567475e-03,-1.832732467532467435e+00
3.536892945219027862e-03,-1.830103896103896233e+00
4.280148651141124638e-03,-1.828176623376623455e+00
5.367706632600777183e-03,-1.825559740259740327e+00
5.265235717262173321e-03,-1.824498701298701286e+00
4.997445058510963101e-03,-1.823709090909090946e+00
4.359392825669716753e-03,-1.823542857142857132e+00
2.434989035612122876e-03,-1.825464935064935013e+00
3.425329443992874978e-04,-1.828080519480519417e+00
-3.263076996645797312e-03,-1.833188311688311645e+00
-8.601128546347647230e-03,-1.841497402597402688e+00
-1.583284261150552652e-02,-1.853570129870129923e+00
-2.792509376088747608e-02,-1.873768831168831195e+00
-4.527956798262089411e-02,-1.902512987012987100e+00
-7.133109035885309979e-02,-1.939188311688311739e+00
-1.049060273392402043e-01,-1.954106493506493569e+00
-1.396361531052103255e-01,-1.926435064935065000e+00
-1.709881543621868671e-01,-1.912727272727272831e+00
-2.021372632067931496e-01,-1.900337662337662437e+00
-2.324891483300656758e-01,-1.891450649350649327e+00
-2.611905685769522201e-01,-1.884320779220779229e+00
-2.901556806459766880e-01,-1.877867532467532463e+00
-3.131836278802866413e-01,-1.870581818181818123e+00
-3.321612414009823544e-01,-1.862746753246753206e+00
-3.481774454683945752e-01,-1.854635064935064914e+00
-3.606843622551799133e-01,-1.846187012987013043e+00
-3.719233722495098871e-01,-1.837922077922077957e+00
-3.804632983338229191e-01,-1.829528571428571393e+00
-3.867502305595595380e-01,-1.821111688311688237e+00
-3.915533839311942099e-01,-1.812846753246753151e+00
-3.930890813824010066e-01,-1.804259740259740230e+00
-3.927236017843602212e-01,-1.795677922077921984e+00
-3.890817854532289122e-01,-1.786696103896103782e+00
-3.809906819780985443e-01,-1.776945454545454606e+00
-3.687344773641748064e-01,-1.766464935064935071e+00
-3.492301633386390991e-01,-1.754318181818181888e+00
-3.245346727420533872e-01,-1.741094805194805195e+00
-2.982153597070698048e-01,-1.727888311688311695e+00
-2.713871077925715802e-01,-1.715170129870129845e+00
-2.424766468783943751e-01,-1.703007792207792193e+00
-2.116855030980373531e-01,-1.693171428571428550e+00
-1.799188362036575339e-01,-1.689207792207792158e+00
-1.484486518243238740e-01,-1.709102597402597290e+00
-1.235734955561779702e-01,-1.742832467532467566e+00
-1.047297773648580010e-01,-1.761240259740259662e+00
-8.909066626589157156e-02,-1.769907792207792152e+00
-7.654890936789104927e-02,-1.774588311688311659e+00
-6.519103311176843718e-02,-1.776553246753246773e+00
-5.540369441806769490e-02,-1.777348051948052010e+00
-4.687196600698173565e-02,-1.777384415584415622e+00
-3.902337703148589521e-02,-1.776363636363636367e+00
-3.223638673889733797e-02,-1.775049350649350544e+00
-2.614961436778856507e-02,-1.773222077922077977e+00
-2.059842331418265671e-02,-1.770827272727272694e+00
-1.589364202127302450e-02,-1.768441558441558481e+00
-1.177226180635726482e-02,-1.765879220779220660e+00
-8.330605329853801866e-03,-1.763415584415584325e+00
-6.113817861363723960e-03,-1.761984415584415542e+00
-4.693570974771688054e-03,-1.761233766233766262e+00
-4.721579691630839459e-03,-1.762274025974025937e+00
-6.175983550002317468e-03,-1.765381818181818163e+00
-9.083424987874288981e-03,-1.770896103896103968e+00
-1.384422371450239053e-02,-1.779681818181818143e+00
-1.872252242405192391e-02,-1.789603896103896030e+00
-2.111419358805333157e-02,-1.796959740259740368e+00
-2.091813257003893867e-02,-1.801119480519480565e+00
-1.960377229596338422e-02,-1.803645454545454552e+00
-1.703311859983736021e-02,-1.804101298701298761e+00
-1.431627306449523296e-02,-1.803805194805194745e+00
-1.179958738378100724e-02,-1.803216883116883107e+00
-9.399035407116951291e-03,-1.802262337662337677e+00
-7.457553131169525340e-03,-1.801458441558441592e+00
-5.438876099000566899e-03,-1.800132467532467473e+00
-3.985838519500239929e-03,-1.799192207792207787e+00
-2.575155585006427827e-03,-1.798006493506493442e+00
-1.654283625830865745e-03,-1.797225974025973949e+00
-1.257379613753051295e-03,-1.797005194805194828e+00
