time_s,displacement_m
2.582312784090908808e-01,7.562938772423293194e-05
2.582539630681818243e-01,7.740244894799899072e-05
2.582766477272727124e-01,7.911918364117586006e-05
2.582993181818181716e-01,8.083469384455726776e-05
2.583220028409091151e-01,8.263959180300427232e-05
2.583446732954545189e-01,8.458775506751523476e-05
2.583673579545454624e-01,8.667306118911303656e-05
2.583900142045454373e-01,8.878897955559633605e-05
2.584126846590908966e-01,9.101142853428104498e-05
2.584353693181818401e-01,9.326571424764665903e-05
2.584580539772727281e-01,9.554938771610230913e-05
2.584807244318181874e-01,9.790040812330596468e-05
2.585034090909090754e-01,1.002440815917371485e-04
2.585260937500000189e-01,1.026293877132125105e-04
2.585487642045454781e-01,1.050220407734604120e-04
2.585714204545454531e-01,1.074024489357541036e-04
2.585940909090909123e-01,1.097840815878432569e-04
2.586167755681818003e-01,1.121326530154560569e-04
2.586394602272727439e-01,1.144273468920705095e-04
2.586621306818182031e-01,1.166804081156406483e-04
2.586848153409090911e-01,1.188085713800781306e-04
2.587074999999999791e-01,1.208179591343600478e-04
2.587301704545454384e-01,1.226106121948528289e-04
2.587528267045454688e-01,1.240604081126284099e-04
2.587754971590909281e-01,1.250510203571220406e-04
2.587981818181818161e-01,1.252983672957965931e-04
2.588208664772727041e-01,1.247522448470399150e-04
2.588435369318181634e-01,1.234285713781924521e-04
2.588662215909091069e-01,1.214546938279776760e-04
2.588889062499999949e-01,1.187155101556263250e-04
2.589115482954545411e-01,1.153653060753611189e-04
2.589342329545454291e-01,1.113183673015027102e-04
2.589569034090908883e-01,1.066628570993213154e-04
2.589795880681818319e-01,1.015824489381296226e-04
2.590022727272727199e-01,9.607714281792769945e-05
2.590249431818181791e-01,9.027795914682534817e-05
2.590476278409090671e-01,8.421673465950336545e-05
2.590703125000000107e-01,7.791673466207481790e-05
2.590929545454545568e-01,7.147959180755936322e-05
2.591156392045454449e-01,6.490163262657075200e-05
2.591383096590909041e-01,5.825387752724334075e-05
2.591609943181817921e-01,5.161591834627921613e-05
2.591836789772727356e-01,4.499020406326932853e-05
2.592063494318181949e-01,3.852734692305006690e-05
2.592290340909090829e-01,3.227877549702906548e-05
2.592517187500000264e-01,2.638285713208862187e-05
2.592743607954545171e-01,2.103183672610944215e-05
2.592970454545454606e-01,1.626367346274950251e-05
2.593197159090909198e-01,1.210408162771260991e-05
2.593424005681818079e-01,8.560408159771244543e-06
2.593650852272727514e-01,5.713469385423069902e-06
2.593877556818181551e-01,3.569387753645173154e-06
2.594104403409090986e-01,2.166122448095467399e-06
2.594331249999999867e-01,1.438775509616840399e-06
2.594557670454545328e-01,1.148571428102609584e-06
2.594784517045454764e-01,1.262448979076558736e-06
2.595011363636363644e-01,1.678775509518844013e-06
2.595238068181818236e-01,2.353469386794533540e-06
2.595464914772727116e-01,3.282857141517180750e-06
2.595691619318181709e-01,4.398367345143504873e-06
2.595918465909091144e-01,5.709795916036832338e-06
2.596145312500000024e-01,7.181632650129957351e-06
2.596371732954545486e-01,8.795510200491620941e-06
2.596598579545454366e-01,1.054285713855395409e-05
2.596825426136363801e-01,1.240653060718101549e-05
2.597052130681818394e-01,1.436448979005530520e-05
2.597278977272727274e-01,1.641551019738143443e-05
2.597505681818181866e-01,1.852530611488765607e-05
2.597732528409090746e-01,2.067673468543809994e-05
2.597959090909091051e-01,2.284897958251065324e-05
2.598185795454545644e-01,2.499428570408394133e-05
2.598412642045454524e-01,2.710040815220392710e-05
2.598639488636363404e-01,2.910979590648583070e-05
2.598866193181817996e-01,3.099795917102124247e-05
2.599093039772727431e-01,3.279061223151403712e-05
2.599319744318182024e-01,3.457591835323435325e-05
2.599546590909090904e-01,3.638204080147671105e-05
2.599773153409090654e-01,3.822857141296796834e-05
2.599999857954545246e-01,4.015346937136590483e-05
